LOTTO GAME,COMBINATIONS,DRAW DATE,JACKPOT (?),WINNERS
Superlotto 6/49,42-28-34-46-04-14,1/3/2012,"38,593,252.80",0
Superlotto 6/49,25-21-05-15-42-12,1/5/2012,"43,834,960.80",0
Superlotto 6/49,45-49-12-34-04-14,1/8/2012,"50,597,863.20",0
Superlotto 6/49,15-14-16-21-26-45,1/10/2012,"55,645,466.40",1
Superlotto 6/49,01-26-23-30-28-22,1/12/2012,"16,000,000.00",0
Superlotto 6/49,43-38-25-21-10-09,1/15/2012,"16,000,000.00",0
Superlotto 6/49,16-32-04-17-10-36,1/17/2012,"16,000,000.00",0
Superlotto 6/49,39-49-29-11-24-26,1/19/2012,"18,757,159.20",0
Superlotto 6/49,32-23-36-21-28-17,1/22/2012,"24,993,248.40",0
Superlotto 6/49,27-34-29-23-25-04,1/24/2012,"29,251,515.60",0
Superlotto 6/49,27-21-22-39-02-23,1/26/2012,"33,830,784.00",0
Superlotto 6/49,25-29-13-05-20-28,1/29/2012,"40,449,618.00",0
Superlotto 6/49,10-30-04-21-44-27,1/31/2012,"45,613,497.60",0
Superlotto 6/49,40-25-33-17-38-49,2/2/2012,"51,874,610.40",0
Superlotto 6/49,25-24-08-02-11-16,2/5/2012,"59,911,916.40",0
Superlotto 6/49,02-28-44-03-26-27,2/7/2012,"66,715,693.20",0
Superlotto 6/49,28-25-12-07-03-14,2/9/2012,"74,757,963.60",2
Superlotto 6/49,44-46-27-07-19-23,2/12/2012,"16,000,000.00",0
Superlotto 6/49,29-21-11-30-25-08,2/14/2012,"16,000,000.00",1
Superlotto 6/49,47-01-49-05-40-45,2/16/2012,"16,000,000.00",0
Superlotto 6/49,06-04-18-48-34-37,2/19/2012,"16,000,000.00",0
Superlotto 6/49,32-19-17-25-43-18,2/21/2012,"17,221,482.00",0
Superlotto 6/49,10-09-26-11-12-16,2/23/2012,"22,449,747.60",1
Superlotto 6/49,36-27-46-30-14-03,2/26/2012,"16,000,000.00",0
Superlotto 6/49,19-02-04-38-28-23,2/28/2012,"16,000,000.00",0
Superlotto 6/49,11-09-12-17-18-32,3/1/2012,"16,629,926.40",0
Superlotto 6/49,28-26-27-11-34-17,3/4/2012,"23,698,944.00",0
Superlotto 6/49,47-07-03-33-39-34,3/6/2012,"28,884,297.60",0
Superlotto 6/49,34-16-30-49-45-09,3/8/2012,"34,239,387.60",0
Superlotto 6/49,46-10-48-33-36-34,3/11/2012,"41,427,478.80",0
Superlotto 6/49,29-02-22-33-04-47,3/13/2012,"46,752,087.60",0
Superlotto 6/49,44-20-22-16-30-02,3/15/2012,"52,650,921.60",0
